# lambda av_DeltaU
   0.277277277 12821.490663942
   0.278278278 12810.849709506
   0.279279279 12800.187640121
   0.280280280 12789.504917075
   0.281281281 12778.802267649
   0.282282282 12768.080681135
   0.283283283 12757.341401836
   0.284284284 12746.585919059
   0.285285285 12735.815954107
   0.286286286 12725.033444361
   0.287287287 12714.240524563
   0.288288288 12703.439505479
   0.289289289 12692.632850146
   0.290290290 12681.823147964
   0.291291291 12671.013086931
   0.292292292 12660.205424358
   0.293293293 12649.402956419
   0.294294294 12638.608486924
   0.295295295 12627.824795735
   0.296296296 12617.054607212
   0.297297297 12606.300559125
   0.298298298 12595.565172441
   0.299299299 12584.850822377
   0.300300300 12574.159711100
   0.301301301 12563.493842443
   0.302302302 12552.854998940
   0.303303303 12542.244721490
   0.304304304 12531.664291890
   0.305305305 12521.114718451
   0.306306306 12510.596724862
   0.307307307 12500.110742431
   0.308308308 12489.656905770
   0.309309309 12479.235051960
   0.310310310 12468.844723193
   0.311311311 12458.485172821
   0.312312312 12448.155374735
   0.313313313 12437.854035921
   0.314314314 12427.579612040
   0.315315315 12417.330325820
   0.316316316 12407.104188023
   0.317317317 12396.899020725
   0.318318318 12386.712482619
   0.319319319 12376.542096036
   0.320320320 12366.385275334
   0.321321321 12356.239356322
   0.322322322 12346.101626349
   0.323323323 12335.969354684
   0.324324324 12325.839822809
   0.325325325 12315.710354240
   0.326326326 12305.578343498
   0.327327327 12295.441283847
   0.328328328 12285.296793444
   0.329329329 12275.142639539
   0.330330330 12264.976760406
   0.331331331 12254.797284700
   0.332332332 12244.602547964
   0.333333333 12234.391106062
   0.334334334 12224.161745349
   0.335335335 12213.913489423
   0.336336336 12203.645602387
   0.337337337 12193.357588578
   0.338338338 12183.049188796
   0.339339339 12172.720373104
   0.340340340 12162.371330368
   0.341341341 12152.002454721
   0.342342342 12141.614329227
   0.343343343 12131.207707044
   0.344344344 12120.783490467
   0.345345345 12110.342708225
   0.346346346 12099.886491476
   0.347347347 12089.416048956
   0.348348348 12078.932641726
   0.349349349 12068.437558002
   0.350350350 12057.932088504
   0.351351351 12047.417502786
   0.352352352 12036.895026929
   0.353353353 12026.365822989
   0.354354354 12015.830970525
   0.355355355 12005.291450482
   0.356356356 11994.748131672
   0.357357357 11984.201759999
   0.358358358 11973.652950573
   0.359359359 11963.102182750
   0.360360360 11952.549798102
   0.361361361 11941.996001287
   0.362362362 11931.440863700
   0.363363363 11920.884329778
   0.364364364 11910.326225786
   0.365365365 11899.766270861
   0.366366366 11889.204090091
   0.367367367 11878.639229369
   0.368368368 11868.071171743
   0.369369369 11857.499354974
   0.370370370 11846.923190028
   0.371371371 11836.342080172
   0.372372372 11825.755440393
   0.373373373 11815.162716842
   0.374374374 11804.563405975
   0.375375375 11793.957073127
   0.376376376 11783.343370196
   0.377377377 11772.722052168
   0.378378378 11762.092992180
   0.379379379 11751.456194862
   0.380380380 11740.811807685
   0.381381381 11730.160130062
   0.382382382 11719.501619979
   0.383383383 11708.836897928
   0.384384384 11698.166747979
   0.385385385 11687.492115819
   0.386386386 11676.814103674
   0.387387387 11666.133962028
   0.388388388 11655.453078155
   0.389389389 11644.772961490
   0.390390390 11634.095225985
   0.391391391 11623.421569606
   0.392392392 11612.753751251
   0.393393393 11602.093565411
   0.394394394 11591.442814961
   0.395395395 11580.803282557
   0.396396396 11570.176701156
   0.397397397 11559.564724220
   0.398398398 11548.968896227
   0.399399399 11538.390624097
   0.400400400 11527.831150201
   0.401401401 11517.291527554
   0.402402402 11506.772597829
   0.403403403 11496.274972738
   0.404404404 11485.799019314
   0.405405405 11475.344849513
   0.406406406 11464.912314518
   0.407407407 11454.501003986
   0.408408408 11444.110250416
   0.409409409 11433.739138668
   0.410410410 11423.386520578
   0.411411411 11413.051034492
   0.412412412 11402.731129402
   0.413413413 11392.425093304
   0.414414414 11382.131085244
   0.415415415 11371.847170470
   0.416416416 11361.571357984
   0.417417417 11351.301639744
   0.418418418 11341.036030707
   0.419419419 11330.772608842
   0.420420420 11320.509554253
   0.421421421 11310.245186536
   0.422422422 11299.977999492
   0.423423423 11289.706692390
   0.424424424 11279.430197019
   0.425425425 11269.147699830
   0.426426426 11258.858658597
   0.427427427 11248.562813133
   0.428428428 11238.260189708
   0.429429429 11227.951099006
   0.430430430 11217.636127563
   0.431431431 11207.316122834
   0.432432432 11196.992172158
   0.433433433 11186.665576077
   0.434434434 11176.337816590
   0.435435435 11166.010521061
   0.436436436 11155.685422623
   0.437437437 11145.364317983
   0.438438438 11135.049023630
   0.439439439 11124.741331444
   0.440440440 11114.442964744
   0.441441441 11104.155535757
   0.442442442 11093.880505468
   0.443443443 11083.619146701
   0.444444444 11073.372511202
   0.445445445 11063.141401377
   0.446446446 11052.926347192
   0.447447447 11042.727588610
   0.448448448 11032.545063811
   0.449449449 11022.378403269
   0.450450450 11012.226929663
   0.451451451 11002.089663431
   0.452452452 10991.965333703
   0.453453453 10981.852394218
   0.454454454 10971.749043772
   0.455455455 10961.653250642
   0.456456456 10951.562780436
   0.457457457 10941.475226720
   0.458458458 10931.388043805
   0.459459459 10921.298581040
   0.460460460 10911.204117981
   0.461461461 10901.101899797
   0.462462462 10890.989172335
   0.463463463 10880.863216258
   0.464464464 10870.721379733
   0.465465465 10860.561109186
   0.466466466 10850.379977660
   0.467467467 10840.175710412
   0.468468468 10829.946207386
   0.469469469 10819.689562277
   0.470470470 10809.404077976
   0.471471471 10799.088278201
   0.472472472 10788.740915236
   0.473473473 10778.360973706
   0.474474474 10767.947670439
   0.475475475 10757.500450490
   0.476476476 10747.018979485
   0.477477477 10736.503132513
   0.478478478 10725.952979854
   0.479479479 10715.368769890
   0.480480480 10704.750909607
   0.481481481 10694.099943139
   0.482482482 10683.416528871
   0.483483483 10672.701415613
   0.484484484 10661.955418422
   0.485485485 10651.179394628
   0.486486486 10640.374220648
   0.487487487 10629.540770132
   0.488488488 10618.679893972
   0.489489489 10607.792402679
   0.490490490 10596.879051543
   0.491491491 10585.940528967
   0.492492492 10574.977448270
   0.493493493 10563.990343174
   0.494494494 10552.979667097
   0.495495495 10541.945796301
   0.496496496 10530.889036801
   0.497497497 10519.809634905
   0.498498498 10508.707791089
   0.499499499 10497.583676889
   0.500500501 10486.437454344
   0.501501502 10475.269297505
   0.502502503 10464.079415405
   0.503503504 10452.868075884
   0.504504505 10441.635629576
   0.505505506 10430.382533396
   0.506506507 10419.109372800
   0.507507508 10407.816882166
   0.508508509 10396.505962616
   0.509509510 10385.177696694
   0.510510511 10373.833359352
   0.511511512 10362.474424790
   0.512512513 10351.102568790
   0.513513514 10339.719666285
   0.514514515 10328.327784041
   0.515515516 10316.929168423
   0.516516517 10305.526228371
   0.517517518 10294.121513818
   0.518518519 10282.717689911
   0.519519520 10271.317507505
   0.520520521 10259.923770488
   0.521521522 10248.539300590
   0.522522523 10237.166900397
   0.523523524 10225.809315300
   0.524524525 10214.469195178
   0.525525526 10203.149056580
   0.526526527 10191.851246162
   0.527527528 10180.577906078
   0.528528529 10169.330942004
   0.529529530 10158.111994336
   0.530530531 10146.922413077
   0.531531532 10135.763236793
   0.532532533 10124.635175931
   0.533533534 10113.538600685
   0.534534535 10102.473533498
   0.535535536 10091.439646195
   0.536536537 10080.436261630
   0.537537538 10069.462359697
   0.538538539 10058.516587425
   0.539539540 10047.597272870
   0.540540541 10036.702442452
   0.541541542 10025.829841344
   0.542542543 10014.976956510
   0.543543544 10004.141041981
   0.544544545 9993.319145941
   0.545545546 9982.508139222
   0.546546547 9971.704744796
   0.547547548 9960.905567907
   0.548548549 9950.107126472
   0.549549550 9939.305881433
   0.550550551 9928.498266758
   0.551551552 9917.680718829
   0.552552553 9906.849704963
   0.553553554 9896.001750863
   0.554554555 9885.133466800
   0.555555556 9874.241572369
   0.556556557 9863.322919661
   0.557557558 9852.374514726
   0.558558559 9841.393537208
   0.559559560 9830.377358050
   0.560560561 9819.323555159
   0.561561562 9808.229926966
   0.562562563 9797.094503766
   0.563563564 9785.915556796
   0.564564565 9774.691604950
   0.565565566 9763.421419090
   0.566566567 9752.104023893
   0.567567568 9740.738697204
   0.568568569 9729.324966877
   0.569569570 9717.862605102
   0.570570571 9706.351620269
   0.571571572 9694.792246428
   0.572572573 9683.184930451
   0.573573574 9671.530317058
   0.574574575 9659.829231891
   0.575575576 9648.082662886
   0.576576577 9636.291740241
   0.577577578 9624.457715296
   0.578578579 9612.581938728
   0.579579580 9600.665838447
   0.580580581 9588.710897643
   0.581581582 9576.718633412
   0.582582583 9564.690576426
   0.583583584 9552.628252055
   0.584584585 9540.533163354
   0.585585586 9528.406776259
   0.586586587 9516.250507272
   0.587587588 9504.065713872
   0.588588589 9491.853687764
   0.589589590 9479.615650997
   0.590590591 9467.352754913
   0.591591592 9455.066081731
   0.592592593 9442.756648541
   0.593593594 9430.425413330
   0.594594595 9418.073282652
   0.595595596 9405.701120423
   0.596596597 9393.309757346
   0.597597598 9380.900000406
   0.598598599 9368.472641889
   0.599599600 9356.028467423
   0.600600601 9343.568262550
   0.601601602 9331.092817452
   0.602602603 9318.602929503
   0.603603604 9306.099403442
   0.604604605 9293.583049079
   0.605605606 9281.054676551
   0.606606607 9268.515089260
   0.607607608 9255.965074764
   0.608608609 9243.405393962
   0.609609610 9230.836769004
   0.610610611 9218.259870449
   0.611611612 9205.675304187
   0.612612613 9193.083598707
   0.613613614 9180.485193237
   0.614614615 9167.880427279
   0.615615616 9155.269531989
   0.616616617 9142.652623760
   0.617617618 9130.029700301
   0.618618619 9117.400639361
   0.619619620 9104.765200160
   0.620620621 9092.123027462
   0.621621622 9079.473658116
   0.622622623 9066.816529800
   0.623623624 9054.150991610
   0.624624625 9041.476316077
   0.625625626 9028.791712147
   0.626626627 9016.096338640
   0.627627628 9003.389317705
   0.628628629 8990.669747819
   0.629629630 8977.936715907
   0.630630631 8965.189308257
   0.631631632 8952.426619938
   0.632632633 8939.647762564
   0.633633634 8926.851870308
   0.634634635 8914.038104185
   0.635635636 8901.205654708
   0.636636637 8888.353743103
   0.637637638 8875.481621347
   0.638638639 8862.588571336
   0.639639640 8849.673903534
   0.640640641 8836.736955482
   0.641641642 8823.777090497
   0.642642643 8810.793696924
   0.643643644 8797.786188216
   0.644644645 8784.754004061
   0.645645646 8771.696612720
   0.646646647 8758.613514629
   0.647647648 8745.504247242
   0.648648649 8732.368390987
   0.649649650 8719.205576133
   0.650650651 8706.015490258
   0.651651652 8692.797885976
   0.652652653 8679.552588482
   0.653653654 8666.279502476
   0.654654655 8652.978617983
